,product_id,product_name,category_id,no_orders
1368,37273,,,7
1367,30352,Pig Catcher (Snare | Stainless Steel),880.0,1
1363,31211,300 Eggs Capacity Incubator (Fully Automated | Portable | Electric Powered-AC/DC),880.0,1
1361,34350,Neem Oil (For Organic Farming) - 1 Litre,4747.0,6
1359,23277,ANIFLYGARD -Fly Larva And Manure Odour Control For Poultry,2842.0,2
1358,47857,D.I. Grow Organic Foliar Liquid Fertilizer (1 Litre),4793.0,4
1354,47625,Tomato Seedling Trays (Hard Plastic Nursery Sprouter Tray),4747.0,5
1352,27401,Commercial Day-Old ZARTECH Broilers (Cobb 500),3570.0,4
1350,50310,Commercial Turkey Poults (Exotic Hybrid Converter Breed) - Carton of 30 Poults,2849.0,9
1348,67058,Zartech Pullets (Commercial Day-Old Pullets | ISA Brown) - PreOrder,2848.0,4
1342,41012,Point of Lay Snails: Archachatina marginata,2622.0,2
1339,33348,Heavy-Duty Digital Crane Scale (Model OCS-S1 | 300kg/500kg Capacity | Hook/Hanging Type),880.0,1
1338,30567,Commercial Day-Old Pullets (ISA Brown | ZARTECH Brand | Pre-order),2848.0,9
1337,35897,High Precision Bench Scale (230 x 160 mm | 5kg and 10kg Capacity | Touch Screen),880.0,4
1336,49457,Defeathering Machine (Electric Powered | 4-5 Birds/5 Mins Capacity),880.0,5
1335,32476,TopFeed Broiler Finisher Feed (Mash | Pellets) - 25kg Bag,2701.0,1
1332,66108,Ridomil Gold Fungicide (Syngenta Brand | 250g | 50g Sachets),5134.0,2
1331,66817,,,1
1330,64283,Cabrio Duo Fungicide (BASF Brand),5154.0,1
1329,55331,Calcium Nitrate Fertilizer + Boron (YaraLiva&#x2122; Nitrabor | 25kg Bag),4793.0,2
1328,20597,WANDA 3 Tier Battery Cage with Aluminium Feeder [90/96 Birds],880.0,1
1326,66427,Bird Transport Crate (With Access Door | China Brand | Indian Brand),880.0,1
1325,60192,Hybrid Supergene Sprouted Seeds (Oil Palm Nuts | Pack of 500),5140.0,2
1324,68415,Micro Force Fertilizer | 250 ml,5129.0,1
1323,68414,Vanguish Insecticide | 1Litre,5140.0,1
1322,68444,Brooding Mesh 4ft x 75 ft (22.5m),880.0,1
1318,20445,Commercial Day Old Pullet - ISA Brown (Farm Support Brand | Pre-Order),2848.0,8
1317,61225,The Secrets of Starting and Growing A successful Poultry Farm (341 Pages),7203.0,7
1316,24892,Plastic Flip-Top Feeder for Brooders,880.0,6
1315,20579,WANDA 3 Tier Battery Cage with PVC Feeder [120 Birds],7203.0,7
1314,67164,Hallakat Insecticide (Emamectin Benzoate | Acetamiprid | 250mL),5134.0,1
1313,67786,,,1
1310,20207,Vitamin E + Selenium (Oral) - 1 Litre,2842.0,1
1308,22706,Regular Drinkers For Chicks (4 and 10 Liters) - Dozen of 12 Pcs,880.0,7
1307,22619,MultiZyme-Digestion Enhancer For Livestock,2703.0,10
1306,29447,Gas Brooder with Infrared Functions (1000 and 2000 Chicks Capacity) - Promo,880.0,3
1305,18364,Digital Temperature and Humidity Meter (Clock/Humidity) - HTC 1,6260.0,3
1304,17571,"Plasson Bell Drinker for Floor-reared Poultry - Broilers, Layers, Cockerels, Kuroilers",880.0,2
1303,68603,VITA E + SEL + C WSP| 100g,2842.0,3
1302,63398,Day Old AMO Broilers (Commercial Arbor Acres Plus),3570.0,1
1300,29408,Infrared Heating/Brooding Lamp (For Piglets and Chicks) 250W,880.0,7
1298,65769,,,2
1297,30363,Chick Mash (Hybrid Brand) - 25kg Bag,2701.0,3
1296,33686,Livestocking Feed Formulator (Software for Farmers),4124.0,1
1294,47045,,,6
1293,56058,Portable Incubator (48 | 96 Eggs Capacity) - Electric Powered/Temperature and Humidity Alarm/Automatic Egg-Turning Sensors.,880.0,2
1292,67836,End Connector (For Drip Irrigation | 100Pcs/Pack),5818.0,1
1290,68710,Feed Pelleting Machine (Single/Triple Phase Model | Electric Powered),880.0,1
1289,18779,High Quality Rabbit Nipples (A Pack of 100 Pcs),4582.0,2
1288,22703,Hanging Feeder For Poultry (5 kg),880.0,9
1287,16470,One Pack of Automatic Nipple Drinker with Clip,880.0,3
1286,49531,Day-Old Black Cockerels Chicks,3571.0,9
1285,67452,Special Poultry Equipment (Combo),6501.0,1
1284,16060,African Giant Snails and Snail Farming (2020 Edition),2630.0,7
1283,57510,Plastic Water Tank For Poultry Pen/Battery Cage (25 Litres),880.0,3
1282,65654,,,3
1281,56258,,,1
1279,22673,Ground Feeding Trays For Chicks (Bundle of 12),880.0,7
1278,36692,GroGel Plus B (Unique Hydrating Gel with Probiotics for Day Old Chicks),2842.0,3
1277,67585,,,6
1276,16536,Plastic Egg Crates (Bundle of 36 Pieces),3050.0,2
1275,65852,Watermelon Sweet Sangria F1 | 10g,4574.0,2
1274,57473,Super Fifty Fertilizer (Organic | Seaweed Extract),5129.0,1
1273,57939,Black Soldier Fly Larva Meal (Maggots),4124.0,5
1272,33422,Paper Egg Crates (Bundle of 100 pieces),3050.0,3
1271,31488,,,2
1269,66066,Ovaprim (Fish Ovulating Agent/Hormone | 10mL Vial),7001.0,1
1268,59083,Drip Tape (For Drip Irrigation | 1500m/Roll),880.0,3
1267,66428,Chick Guard (High Quality | Plastic Model) - Promo,973.0,3
1266,25020,Portable Poultry Gas Brooder (Catalytic/Infrared Functions)-1000 Birds Capacity,880.0,6
1265,64245,Temperature and Humidity Meter (HTC-1 Brand | LCD Display),880.0,3
1264,68229,,,5
